category,x,y,attr_0,attr_1
category_13,0.5768550294987925,0.6537243723440427,0.26198899691010447,0.2041702152449847
category_4,0.06708179439173323,0.08053666358200606,0.010694307491683208,0.5290667323355962
category_2,0.7538943255494317,0.3174070589428085,0.76812645346045,0.2638588322384896
category_11,0.3419872213609728,0.21663907680016348,0.8231249987807457,0.6330643411196176
category_11,0.39988443212133207,0.8654205222811949,0.203468942751176,0.11412128492148998
category_1,0.1905600858798987,0.519496781748948,0.709657311669517,0.44934486873638946
category_8,0.09158013960898503,0.6928563444432329,0.44028997466215314,0.033827985238056524
category_4,0.4263683505937147,0.6575223577730797,0.5737737233489768,0.7256263906508296
category_2,0.6297250598504612,0.7572417090106229,0.6476874132333074,0.7420751649605284
category_10,0.20683322494522827,0.6307522645065945,0.7763431490259335,0.8507228876499907
category_4,0.4654404095514675,0.8367531729138695,0.44749625906433177,0.9548375933121334
category_6,0.013096495891538384,0.013366331487147498,0.6984148587031639,0.5786209426496096
category_6,0.8112399931465746,0.8796979302335267,0.8420843889417807,0.6407628493863061
category_2,0.5018789954036424,0.08194225091106833,0.3009224547463266,0.17534930862212128
category_10,0.05267138176790642,0.7360821848259277,0.27967274719447865,0.36559857625030656
category_10,0.22437730785323518,0.6655219243469073,0.9724609909701775,0.35654544119232057
category_4,0.9259074467696947,0.7136666940279784,0.4974560021940416,0.7623592280551542
category_7,0.5209163735408895,0.005522517469109922,0.68223253866497,0.6932561384533418
category_3,0.49107811655233435,0.12041598822795185,0.11994193140826426,0.05164460467201837
category_7,0.3022793349931987,0.5298610657774268,0.36729642586579747,0.0594303332978251
category_12,0.6435016239086319,0.26668742470336937,0.2355634733382802,0.3657640818394129
category_8,0.011159450499107493,0.01950797607496413,0.6812263472268218,0.041852828013989485
category_13,0.9935920968392965,0.23664389035616873,0.5098998634459122,0.8569002173042471
category_10,0.7568060807518173,0.09112425547416281,0.8370661761598548,0.3119629485759484
category_1,0.7031176207225152,0.9496532458755759,0.20743103358966541,0.47089312443839937
category_9,0.6835577343028397,0.4800885646243548,0.5243329826252411,0.7399882667567415
category_6,0.9142669310571255,0.031765343233099874,0.20198889634766037,0.6418818003371204
category_9,0.49345855739153655,0.15104348879579532,0.5096932646869096,0.2601962120958017
category_10,0.023338822604374254,0.29604866910645156,0.9375281355978403,0.9935222978136252
category_3,0.0030614696812578668,0.8254702240379731,0.8174695399507459,0.11362980837060166
category_7,0.286176919394344,0.36399340937944824,0.7999909934221339,0.9985409041024421
category_3,0.9648586446802743,0.4043629630624248,0.4174454992417893,0.6189024463722239
category_10,0.6192601444137336,0.12059829127847677,0.8819767319237433,0.11667696440454589
category_0,0.36913277299029845,0.3193471965558522,0.28958724396204816,0.3604251609860222
category_2,0.2088480724641667,0.3623710775777145,0.9068467613066779,0.6153719763882428
category_13,0.31962135195587793,0.7149485268038616,0.8601749322588707,0.3776432157780272
category_6,0.8237986515960782,0.8662046803770916,0.33508347207565903,0.6056713630459162
category_4,0.11228489076470027,0.8293715098875843,0.09219486621485273,0.5068250944473371
category_3,0.30941820849041435,0.7278736628528673,0.2950411139550603,0.9585968608858269
category_7,0.6864845491418381,0.7371126057965677,0.5761606088667023,0.5580526474485672
category_13,0.1985304666876443,0.4941576691391242,0.6501917694134319,0.18023091861596074
category_11,0.6626025767010402,0.8089941615090057,0.18510804007616588,0.09656549237942647
category_6,0.44831496129635573,0.1669786679939187,0.9771424558781956,0.9028091567189633
category_6,0.0688321666539925,0.9317482734057444,0.8145035146115867,0.8044359399535531
category_6,0.7235929397651399,0.27600594225600994,0.6795851302564732,0.1466589275758411
category_8,0.5533972399485503,0.01497881044077054,0.21527115523130957,0.10263213357750678
category_2,0.9296417122578976,0.7897684489908023,0.8844926468856984,0.014294381096666697
category_0,0.20909444472738803,0.9589818136414857,0.9481049948798664,0.007798716008335482
category_12,0.3847064593559403,0.8048997909590991,0.9268880922119394,0.4633500392414459
category_5,0.8944125267598192,0.9720929251093328,0.6535054795260773,0.15394602162515958
category_12,0.4336275122686186,0.538008154832632,0.8749852406184082,0.25314003101965765
category_2,0.37563037035473235,0.6521929667592237,0.13112959885711206,0.5270828730612994
category_6,0.9223403921677755,0.5894955907598443,0.43452839976155566,0.044144371122629034
category_8,0.4658250906268425,0.36813254043535837,0.8630014036295113,0.23097242891711878
category_3,0.7885635700192746,0.022535213948938537,0.97049443839637,0.0447163615215147
category_7,0.6105166490167077,0.1997072046820163,0.3885978982077877,0.2248163821493394
category_9,0.5691389315626678,0.505437622911483,0.8082357367786507,0.49948063543347343
category_8,0.48620660402428695,0.7420413210593795,0.5849884475874317,0.3922522062033795
category_12,0.11307463367520221,0.6998654616138127,0.48083448476259794,0.584484941865377
category_1,0.5382903435083215,0.80254603784335,0.4927873604773443,0.04045478842581407
category_13,0.32324484017350075,0.7755566137622982,0.8822582910056119,0.47467508102661693
category_3,0.3129952510542594,0.7077714255226176,0.34085104511800735,0.04169884598063367
category_12,0.7245044879715518,0.9329866232777186,0.2723103452413852,0.6214352073944353
